Price,Close,High,Low,Open,Volume
Ticker,^OEX,^OEX,^OEX,^OEX,^OEX
Date,,,,,
2010-01-04,522.72998046875,523.2999877929688,514.739990234375,514.739990234375,3991400000
2010-01-05,524.5999755859375,524.7000122070312,521.280029296875,522.6300048828125,2491020000
2010-01-06,524.3099975585938,525.3599853515625,523.0900268554688,524.1500244140625,4972660000
2010-01-07,526.3400268554688,526.8200073242188,521.6300048828125,523.9500122070312,5270680000
2010-01-08,527.760009765625,527.9400024414062,524.27001953125,525.7899780273438,4389590000
2010-01-11,528.6099853515625,529.739990234375,526.2999877929688,528.260009765625,4255780000
2010-01-12,524.2899780273438,526.9400024414062,522.2899780273438,526.9400024414062,4716160000
2010-01-13,527.9299926757812,529.4199829101562,522.9000244140625,524.72998046875,4170360000
2010-01-14,529.5999755859375,530.739990234375,527.5,527.9299926757812,3915200000
2010-01-15,524.1099853515625,529.4000244140625,522.0599975585938,529.3900146484375,4758730000
2010-01-19,530.2100219726562,530.3800048828125,523.780029296875,524.1099853515625,4724830000
2010-01-20,524.72998046875,529.1400146484375,520.8699951171875,529.1400146484375,4810560000
2010-01-21,514.1300048828125,526.0399780273438,512.9600219726562,524.969970703125,6874290000
2010-01-22,502.3500061035156,513.7999877929688,501.4700012207031,513.510009765625,6208650000
2010-01-25,504.5400085449219,507.8399963378906,502.6000061035156,502.6000061035156,4481390000
2010-01-26,502.6400146484375,508.25,501.6300048828125,504.19000244140625,4731910000
2010-01-27,505.5400085449219,506.6700134277344,499.1300048828125,502.6099853515625,5319120000
2010-01-28,499.6700134277344,506.69000244140625,496.760009765625,504.92999267578125,5452400000
2010-01-29,495.0899963378906,505.07000732421875,494.0899963378906,501.45001220703125,5412850000
2010-02-01,501.3299865722656,501.4800109863281,495.0899963378906,495.0899963378906,4077610000
2010-02-02,507.57000732421875,508.3800048828125,500.8599853515625,502.010009765625,4749540000
2010-02-03,505.19000244140625,507.6099853515625,503.5899963378906,506.3800048828125,4285450000
2010-02-04,490.07000732421875,505.19000244140625,489.8999938964844,505.19000244140625,5859690000
2010-02-05,491.3399963378906,492.07000732421875,481.79998779296875,490.7300109863281,6438900000
2010-02-08,486.8500061035156,493.3599853515625,486.7300109863281,490.95001220703125,4089820000
2010-02-09,493.0400085449219,497.2699890136719,488.4200134277344,488.4200134277344,5114260000
2010-02-10,492.2900085449219,494.82000732421875,488.6099853515625,492.760009765625,4251450000
2010-02-11,496.5799865722656,497.6400146484375,489.0199890136719,491.8699951171875,4400870000
2010-02-12,494.8999938964844,496.260009765625,489.5199890136719,495.70001220703125,4160680000
2010-02-16,503.3500061035156,503.9100036621094,496.760009765625,496.760009765625,4080770000
2010-02-17,505.2699890136719,506.04998779296875,503.3500061035156,503.8500061035156,4259230000
2010-02-18,508.45001220703125,509.17999267578125,504.3399963378906,504.9599914550781,3878620000
2010-02-19,508.57000732421875,510.1000061035156,505.29998779296875,507.7099914550781,3944280000
2010-02-22,508.2799987792969,510.1099853515625,506.8699951171875,508.989990234375,3814440000
2010-02-23,502.489990234375,508.9100036621094,501.4200134277344,508.04998779296875,4521050000
2010-02-24,507.5299987792969,508.3399963378906,503.1300048828125,503.1300048828125,4168360000
2010-02-25,505.29998779296875,505.4800109863281,498.510009765625,505.30999755859375,4521130000
2010-02-26,506.05999755859375,507.4700012207031,503.260009765625,505.3500061035156,3945190000
2010-03-01,510.3299865722656,510.4700012207031,506.4700012207031,506.4700012207031,3847640000
2010-03-02,511.2699890136719,513.8499755859375,510.4700012207031,511.2200012207031,4134680000
2010-03-03,511.7699890136719,514.6599731445312,510.67999267578125,511.8599853515625,3951320000
2010-03-04,514.0999755859375,514.4400024414062,511.3399963378906,512.010009765625,3945010000
2010-03-05,520.4500122070312,520.8400268554688,515.1900024414062,515.1900024414062,4133000000
2010-03-08,520.4299926757812,521.47998046875,519.75,520.4500122070312,3774680000
2010-03-09,521.4199829101562,523.9099731445312,519.0800170898438,520.1199951171875,5185570000
2010-03-10,523.469970703125,525.0,521.2100219726562,521.2899780273438,5469120000
2010-03-11,525.75,525.75,520.780029296875,522.8599853515625,4669060000
2010-03-12,525.52001953125,526.97998046875,524.0999755859375,526.5,4928160000
2010-03-15,526.3900146484375,526.5800170898438,522.1699829101562,524.6599731445312,4164110000
2010-03-16,529.969970703125,530.3900146484375,526.4099731445312,526.5700073242188,4369770000
2010-03-17,532.510009765625,534.1799926757812,530.1900024414062,530.1900024414062,4963200000
2010-03-18,533.030029296875,533.489990234375,530.6900024414062,532.6199951171875,4234510000
2010-03-19,530.530029296875,534.4500122070312,528.2000122070312,533.4199829101562,5212410000
2010-03-22,532.760009765625,533.8699951171875,527.3300170898438,529.219970703125,4261680000
2010-03-23,536.969970703125,537.27001953125,532.2100219726562,533.1699829101562,4411640000
2010-03-24,534.4400024414062,536.9000244140625,533.5399780273438,536.25,4705750000
2010-03-25,534.469970703125,541.0900268554688,534.1500244140625,535.5599975585938,5668900000
2010-03-26,534.8099975585938,538.1799926757812,532.75,535.280029296875,4708420000
2010-03-29,537.0900268554688,538.010009765625,535.3300170898438,535.3300170898438,4375580000
2010-03-30,536.8099975585938,539.0900268554688,535.1500244140625,537.469970703125,4085000000
2010-03-31,534.9099731445312,537.0599975585938,533.280029296875,536.2100219726562,4484340000
2010-04-01,538.4000244140625,539.9600219726562,535.1300048828125,535.6099853515625,4006870000
2010-04-05,541.5900268554688,542.030029296875,538.5399780273438,538.5399780273438,3881620000
2010-04-06,542.47998046875,543.6300048828125,539.75,540.9600219726562,4086180000
2010-04-07,539.5900268554688,542.7000122070312,537.22998046875,541.8599853515625,5101430000
2010-04-08,542.02001953125,543.1699829101562,536.8200073242188,539.3499755859375,4726970000
2010-04-09,545.4600219726562,545.6500244140625,542.6199951171875,542.6199951171875,4511570000
2010-04-12,546.7000122070312,547.989990234375,545.72998046875,545.72998046875,4607090000
2010-04-13,546.8800048828125,547.75,543.4099731445312,546.3499755859375,5403580000
2010-04-14,553.02001953125,553.02001953125,547.7000122070312,547.7000122070312,5760040000
2010-04-15,553.8699951171875,554.7899780273438,552.4199829101562,553.1599731445312,5995330000
2010-04-16,544.6799926757812,552.989990234375,542.52001953125,552.97998046875,8108470000
2010-04-19,547.989990234375,548.1500244140625,541.7100219726562,544.6699829101562,6597740000
2010-04-20,551.0800170898438,552.3300170898438,548.5599975585938,548.5599975585938,5316590000
2010-04-21,550.0499877929688,553.2999877929688,546.9199829101562,551.0700073242188,5724310000
2010-04-22,549.3599853515625,550.1500244140625,542.6599731445312,548.260009765625,6035780000
2010-04-23,552.6599731445312,552.6799926757812,547.6400146484375,548.8900146484375,5326060000
2010-04-26,550.1799926757812,553.3800048828125,549.7999877929688,552.6099853515625,5647760000
2010-04-27,538.1300048828125,550.030029296875,537.0700073242188,549.0,7454540000
2010-04-28,542.0499877929688,543.75,537.4600219726562,538.3300170898438,6342310000
2010-04-29,548.760009765625,550.0900268554688,542.9099731445312,542.9099731445312,6059410000
2010-04-30,540.280029296875,549.5700073242188,540.0499877929688,548.8400268554688,6048260000
2010-05-03,547.0499877929688,548.5,541.1500244140625,541.1500244140625,4938050000
2010-05-04,534.7899780273438,544.72998046875,532.2999877929688,544.72998046875,6594720000
2010-05-05,531.4500122070312,535.3200073242188,528.260009765625,532.1400146484375,6795940000
2010-05-06,513.7999877929688,531.6500244140625,483.9599914550781,530.6500244140625,10617810000
2010-05-07,506.75,516.9600219726562,498.79998779296875,513.239990234375,9472910000
2010-05-10,527.4099731445312,530.3800048828125,512.3699951171875,512.3699951171875,6893700000
2010-05-11,525.5499877929688,532.260009765625,522.0599975585938,526.0499877929688,5842550000
2010-05-12,531.75,532.4400024414062,525.4000244140625,525.4000244140625,5225460000
2010-05-13,525.3200073242188,532.47998046875,524.7100219726562,530.9600219726562,4870640000
2010-05-14,516.1900024414062,525.1799926757812,511.8599853515625,525.1799926757812,6126400000
2010-05-17,516.3300170898438,518.0700073242188,506.760009765625,516.4500122070312,5922920000
2010-05-18,509.19000244140625,520.8599853515625,507.4100036621094,516.9400024414062,6170840000
2010-05-19,507.2300109863281,510.3599853515625,501.2799987792969,508.7799987792969,6765800000
2010-05-20,487.92999267578125,503.19000244140625,487.92999267578125,503.19000244140625,8328570000
2010-05-21,494.30999755859375,495.19000244140625,480.54998779296875,485.7699890136719,5452130000
2010-05-24,488.1099853515625,495.3800048828125,487.6099853515625,493.0799865722656,5224040000
2010-05-25,487.9700012207031,488.3699951171875,473.5799865722656,485.1400146484375,7329580000
2010-05-26,484.1199951171875,494.760009765625,483.1300048828125,488.7900085449219,4521050000
2010-05-27,499.0799865722656,499.3500061035156,487.2300109863281,487.2300109863281,5698460000
2010-05-28,493.05999755859375,498.94000244140625,491.30999755859375,498.94000244140625,4871210000
2010-06-01,486.239990234375,496.1199951171875,485.7900085449219,492.239990234375,5271480000
2010-06-02,498.0400085449219,498.19000244140625,486.9599914550781,487.5799865722656,5026360000
2010-06-03,499.1600036621094,500.989990234375,494.489990234375,498.3500061035156,4995970000
2010-06-04,483.4200134277344,497.2699890136719,481.2200012207031,497.2699890136719,6180580000
2010-06-07,476.8699951171875,485.7699890136719,476.57000732421875,483.75,5467560000
2010-06-08,482.29998779296875,482.8399963378906,473.5799865722656,477.1499938964844,6192750000
2010-06-09,478.6099853515625,487.8999938964844,477.0799865722656,482.6400146484375,5983200000
2010-06-10,491.4200134277344,492.0199890136719,479.82000732421875,479.82000732421875,5144780000
2010-06-11,493.0199890136719,493.32000732421875,487.239990234375,489.29998779296875,4059280000
2010-06-14,491.45001220703125,498.82000732421875,491.260009765625,494.69000244140625,4425830000
2010-06-15,502.5899963378906,502.7200012207031,491.9700012207031,491.9700012207031,4644490000
2010-06-16,502.6000061035156,504.1700134277344,499.239990234375,502.2099914550781,5002600000
2010-06-17,503.5400085449219,504.0899963378906,499.05999755859375,503.2699890136719,4557760000
2010-06-18,504.70001220703125,505.989990234375,502.989990234375,503.70001220703125,4555360000
2010-06-21,502.8599853515625,510.6400146484375,500.7699890136719,507.5,4514360000
2010-06-22,496.19000244140625,505.17999267578125,495.75,503.1199951171875,4514380000
2010-06-23,494.3999938964844,497.8599853515625,492.260009765625,496.2900085449219,4526150000
2010-06-24,486.6700134277344,493.95001220703125,485.6600036621094,493.95001220703125,4814830000
2010-06-25,486.6199951171875,490.32000732421875,483.9800109863281,487.4200134277344,5128840000
2010-06-28,486.17999267578125,489.5299987792969,484.80999755859375,486.9599914550781,3896410000
2010-06-29,472.3900146484375,484.6000061035156,469.6000061035156,484.6000061035156,6136700000
2010-06-30,467.6499938964844,474.9100036621094,466.5199890136719,472.1099853515625,5067080000
2010-07-01,465.75,468.8699951171875,459.2900085449219,467.9800109863281,6435770000
2010-07-02,463.8399963378906,468.0,460.5799865722656,465.92999267578125,3968500000
2010-07-06,467.1199951171875,472.57000732421875,462.70001220703125,466.9700012207031,4691240000
2010-07-07,481.0,481.29998779296875,467.30999755859375,467.30999755859375,4931220000
2010-07-08,485.6400146484375,485.9200134277344,480.30999755859375,482.489990234375,4548460000
2010-07-09,488.7799987792969,488.8500061035156,484.69000244140625,485.9100036621094,3506570000
2010-07-12,490.0799865722656,490.3599853515625,486.3500061035156,488.5799865722656,3426990000
2010-07-13,497.0,498.8999938964844,490.7699890136719,490.7699890136719,4640460000
2010-07-14,497.4700012207031,499.1600036621094,494.1099853515625,497.3399963378906,4521050000
2010-07-15,498.1199951171875,499.17999267578125,491.0299987792969,496.9700012207031,4552470000
2010-07-16,484.2099914550781,496.6600036621094,483.6300048828125,496.6600036621094,5297350000
2010-07-19,486.760009765625,488.3699951171875,482.75,485.1300048828125,4089500000
2010-07-20,491.6300048828125,491.8699951171875,480.2699890136719,483.32000732421875,4713280000
2010-07-21,485.9599914550781,494.6099853515625,484.010009765625,493.6199951171875,4747180000
2010-07-22,496.6700134277344,498.57000732421875,487.2099914550781,487.2099914550781,4826900000
2010-07-23,499.8299865722656,500.4200134277344,494.0,495.9200134277344,4524570000
2010-07-26,504.9100036621094,504.9100036621094,499.3299865722656,499.8699951171875,4009650000
